Pos, Facility ID, Facility Name, Lat, Lng, Points
166, 11eebd9fafe8bfa08950240f4df08ee1,Jarome Iginla and kinex arenas,53.6199,-113.6377,26
167, 11eeceaf6c802480762f47c28ab25ed2,Deep River Arena,45.3985,-78.0836,26
168, 11E9F686BC07B29481807B23EA662A63,Tri Township Arena,42.9126819,-81.5017351,25
169, 11eeb32fbd64aab013655c150e502a92,Strasbourg & Community Recreation Centre,51.3669,-105.9973,25
170, 11eeb7132a120630d6bd4d395c6df313,Strathcona Gardens Recreation Complex,50.0059,-125.2343,25
171, 11eec6035945eb20b93c60cbbe68acd2,Beeton Community Memorial Centre,44.1595,-79.8733,25
172, 11efced65b5931b09438b67a8bddf3c6,Vulcan Arena,49.8736,-113.5074,25
173, 11efd10097b80740dc84e441069785fe,Lion's Head Arena,44.3483,-80.914,25
174, 11E9F686BBB36DA681807B23EA662A63,Emily Omemee Arena,44.3172148,-78.5667915,24
175, 11eec0bf87bfe210af5700aaafa2d9f1,Multiplex Arena,62.4725,-114.3417,24
176, 11E9F686BBBCC8F681807B23EA662A63,Gros Morne Regional Complex,49.5840538,-57.90895,23
177, 11E9F686BBBE635081807B23EA662A63,Harry Ivany Arena,49.1420949,-55.3514648,23
178, 11E9F686BBC3DBD281807B23EA662A63,Ilderton Arena,43.078912,-81.38681,23
179, 11E9F686BBE5A32A81807B23EA662A63,Peterborough Memorial Centre,44.2890274,-78.315726,23
180, 11eeb6f1947c1f001655bb9ac12d518d,Oro-Medonte Community Arena,44.1535,-79.8683,23
181, 11eeb7072c55f9308fe2395362db20ce,Centre sportif de Métabetchouan,48.4223,-71.8737,23
182, 11eebb026d9d06003c8b28043df69538,Smiths Falls Memorial Community Centre,44.8995,-76.021,23
183, 11eebb1858c097905e167b5bb43921ab,Kentville Centennial Arena,45.0899,-64.4963,23
184, 11efcecef83f7d70f6666c3c119a79a1,Humphrey Arena,45.3405,-80.0365,23
185, 11efe264f4523550adb7a6bd26d697c4,Kuujjuaq Forum,60.0342,-70.0118,23
186, 11E9F686BBDF2CCA81807B23EA662A63,Norway House Cree Nation Multiplex,53.99575359999999,-97.77228389999999,22
187, 11eeb7b95e6193f0439ee030f65b6ccd,Wainfleet Arena,43.0796,-79.199,22
188, 11efcc4c7779da700cf0061f660dea9a,Stride Place,49.9694,-98.3131,22
189, 11efd14a4f5c786058d88ce51f44c41f,Espanola Recreation Fitness,46.2629,-81.7719,22
190, 11E9F686BBC0760481807B23EA662A63,Hillsborough Arena,45.9258915,-64.6457861,21
191, 11eeb57164f89a506ee5bd2c428d7c67,Cominco Arena,49.1135,-117.716,21
192, 11eeb86534aaa3b07f7d59551d1a4621,Marysville Arena,49.6626,-115.9667,21
193, 11eec0ca2a6e9100ec3dbc0a12e7ac76,East Gwillimbury Sports Complex,44.1595,-79.8733,21
194, 11E9F686BB91C99E81807B23EA662A63,Brennan Park Arena,49.7255928,-123.1418193,20
195, 11eeb17cc56cffa0fd468084f1237ec6,Oxbow Arena,49.1895,-104.4374,20
196, 11eeb543b68fd5a0d61bc92906228066,Twin Town Sports Complex,51.2327,-56.7969,20
197, 11eeb54d47d059503d9771929b460183,Centre sportif Jacques-Lesage,46.5442,-75.4972,20
198, 11eeb5bd746d98905db7339b1b9e9e9b,South Cariboo Rec Center,50.7372,-121.2713,20
199, 11eeb631ab3e8cc0782b468a096f8c6e,Tommy Ricketts Arena,51.2327,-56.7969,20
200, 11eeba568440b110c8148e7cf196f9f4,Arctic Spas Recreation Complex,51.9565,-110.0761,20
