Facility, stories, videos, photos, notes, reactions, contributors, points
Beeton Community Memorial Centre - ON,1,0,5,0,1,1,26
Strathcona Gardens Recreation Complex - BC,1,0,5,0,0,2,25
Peterborough Memorial Centre - ON,2,0,1,0,2,3,25
Lion's Head Arena - ON,2,0,1,2,0,3,25
Strasbourg & Community Recreation Centre - SK,1,0,5,0,0,1,25
High level  Arena - AB,1,0,4,2,0,4,24
Centre sportif de Métabetchouan - QC,1,0,4,2,0,2,24
Aréna Gilles-Bourassa - QC,1,0,4,2,0,3,24
Ilderton Arena - ON,1,0,4,1,1,3,24
Multiplex Arena - NT,2,0,1,1,0,2,24
Kentville Centennial Arena - NS,2,0,1,0,1,2,24
Harry Ivany Arena - NL,2,0,1,0,1,2,24
Pond Inlet Comunity Hall - NU,1,0,1,2,9,2,24
Emily Omemee Arena - ON,2,0,1,1,0,2,24
Oceanside Place Arena - BC,1,0,4,1,0,3,23
Zurich Community Centre - ON,2,0,1,0,0,2,23
Oro-Medonte Community Arena - ON,2,0,1,0,0,2,23
Smiths Falls Memorial Community Centre - ON,1,0,4,1,0,1,23
Norway House Cree Nation Multiplex - MB,1,0,4,0,0,1,22
East Gwillimbury Sports Complex - ON,2,0,0,1,1,2,22
Espanola Recreation Fitness - ON,2,0,0,2,0,3,22
Wainfleet Arena - ON,1,0,4,0,0,1,22
Stride Place - MB,1,0,4,0,0,1,22
Marysville Arena - BC,2,0,0,1,0,2,21
Hillsborough Arena - NB,2,0,0,1,0,2,21
Westlock Rotary Spirit Centre - AB,1,0,2,2,3,3,21
Cominco Arena - BC,2,0,0,1,0,3,21
Twin Town Sports Complex - NL,2,0,0,0,0,2,20
Upper Pontiac Sports ComplexJ - QC,1,0,3,1,0,1,20
Savanna Agricultural Society Rec-Plex - AB,2,0,0,0,0,2,20
Noelville Community Centre - ON,1,0,3,1,0,3,20
South Cariboo Rec Center - BC,2,0,0,0,0,2,20
Northern Lights Palace Arena - SK,2,0,0,0,0,2,20
Ken Williams Southern Shore Arena - NL,2,0,0,0,0,2,20
Nakina Community Complex - ON,1,0,3,1,0,1,20
Oxbow Arena - SK,2,0,0,0,0,2,20
Bobcaygeon-Verulam Community Centre - ON,1,0,1,5,2,5,20
Kapuskasing sports palace - ON,2,0,0,0,0,2,20
Okanagan Training Rink - BC,2,0,0,0,0,2,20
Arctic Spas Recreation Complex - AB,2,0,0,0,0,2,20
Fort Simpson  - NT,2,0,0,0,0,2,20
Maidstone Arena - SK,2,0,0,0,0,2,20
Brennan Park Arena - BC,1,0,3,1,0,1,20
Tommy Ricketts Arena - NL,2,0,0,0,0,2,20
Centre sportif Jacques-Lesage - QC,1,0,3,1,0,2,20
